message,label
Rs 5000 credited to your account from salary. Available balance Rs 999,safe
Your flight PNR BABHB5 is confirmed for tomorrow 6am departure,safe
Your food delivery partner Suresh has picked up your order,safe
Your flight PNR B24F5F is confirmed for tomorrow 6am departure,safe
Dear customer your HDFC KYC will expire today. Update immediately or account will be blocked https://bit.ly/kyc-update,scam
Rs 999 credited to your account from salary. Available balance Rs 500,safe
Your internet bill of Rs 25000 has been auto-debited successfully,safe
Rs 15000 has been debited from your account for Swiggy order. Available balance Rs 2000,safe
Your OTP for login is 381626. Do not share this with anyone.,safe
Congratulations! You have won Rs 2500 in Axis Bank lucky draw. Click here to claim https://secure-bank-verify.com,scam
Your OTP for login is 586162. Do not share this with anyone.,safe
Income tax refund of Rs 15000 approved. Click to claim before deadline https://account-block-alert.xyz,scam
"Arpit, your HDFC account balance is Rs 2500 as of today",safe
Your OTP for login is 450407. Do not share this with anyone.,safe
Rs 5000 sent to Amit via UPI. Transaction ID 107610664,safe
Rs 50000 has been debited from your account for Swiggy order. Available balance Rs 15000,safe
Income tax refund of Rs 999 approved. Click to claim before deadline https://cashback-claim.tk,scam
Your flight PNR H243A4 is confirmed for tomorrow 6am departure,safe
Your Paytm statement for last month is now available in the app,safe
Congratulations! You have won Rs 9999 in HDFC lucky draw. Click here to claim https://kyc-update-now.info,scam
Rs 100000 has been debited from your account for Swiggy order. Available balance Rs 15000,safe
Kotak alert: Unusual activity detected on your account. Confirm your identity by entering OTP on this link https://secure-bank-verify.com,scam
Your SBI net banking has been locked due to suspicious activity. Unlock here https://secure-bank-verify.com,scam
Your recharge of Rs 2500 was successful. Validity till next month,safe
Your ICICI KYC is incomplete. Complete now or wallet will be frozen https://cashback-claim.tk,scam
Dear customer your Paytm KYC will expire today. Update immediately or account will be blocked https://secure-bank-verify.com,scam
Hurry! Only 2 hours left to claim your Rs 1500 cashback reward https://verify-account.xyz,scam
Your OTP for login is 164418. Do not share this with anyone.,safe
Rs 500 has been debited from your account for Swiggy order. Available balance Rs 5000,safe
Your flight PNR EG1C52 is confirmed for tomorrow 6am departure,safe
You are eligible for a government subsidy of Rs 1500. Claim before it expires https://secure-bank-verify.com,scam
Loan approved instantly! No documents required. Click here to get Rs 2500 in your account https://tinyurl.com/claim-now,scam
Rs 2500 has been debited from your account for Swiggy order. Available balance Rs 100000,safe
URGENT: Your PhonePe account has been suspended. Verify your UPI PIN now to reactivate https://secure-bank-verify.com,scam
"Work from home and earn Rs 50000 per week guaranteed, limited seats, register now https://refund-claim.tk",scam
You have an unclaimed parcel. Pay Rs 500 customs fee to release it https://refund-claim.tk,scam
Your flight PNR GFDHAF is confirmed for tomorrow 6am departure,safe
Rs 9999 sent to Sneha via UPI. Transaction ID 270089241,safe
Rs 999 sent to Anjali via UPI. Transaction ID 625838800,safe
Paytm security team: verify your account within 30 minutes to avoid permanent block https://instant-loan-approve.com,scam
Alert: Your SBI debit card will expire today. Update details on this link https://cashback-claim.tk,scam
Get Rs 15000 cashback instantly. Just click and enter your UPI PIN to receive https://tinyurl.com/claim-now,scam
You are eligible for a government subsidy of Rs 2500. Claim before it expires https://prize-winner-claim.info,scam
Reminder: Your exam is scheduled for next Monday at 10am,safe
Your Paytm net banking has been locked due to suspicious activity. Unlock here https://cashback-claim.tk,scam
Income tax refund of Rs 5000 approved. Click to claim before deadline https://refund-claim.tk,scam
Rs 2000 has been debited from your account for Swiggy order. Available balance Rs 1500,safe
Your monthly statement is ready. Please check your email,safe
Arush has sent you a payment request of Rs 10000 on PhonePe. Approve now https://prize-winner-claim.info,scam
Happy birthday Amit! Wishing you a wonderful year ahead,safe
"Anjali, your SBI account balance is Rs 100000 as of today",safe
